event_id,site_id,start_date,end_date,peak_date,duration_days,peak_zscore,mean_zscore,detection_methods,vote_count_max,ground_truth_label,ground_truth_confidence,label_source,label_kind,consensus_status,agreement_ratio,judge_models,n_judges,n_valid_judges,rationale,key_evidence,data_gaps,raw_labels,raw_confidences,silver_original
EVT-00011,NWSS_az_1059_Treatment plant_raw wastewater,2022-02-28,2022-02-28,2022-02-28,1,0.0,0.0,,2,sampling,0.7,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The wastewater concentration decreased by 32.46% compared to the pre-event mean. There was no rainfall, hydrology data, or nearby sites to suggest an environmental cause. Hospital admissions decreased by 40.37% during the follow-up period, indicating no clinical support for an epidemic. | Isolated wastewater signal with no significant environmental or clinical support, suggesting a potential sampling artifact","[""Wastewater concentration decreased by 32.46%."", ""No rainfall was recorded during the event period."", ""Hospital admissions decreased by 40.37% during the follow-up period."", ""No rainfall or flow anomalies detected"", ""Hospitalization data shows declining trend"", ""Wastewater concentration dropped by 32.46% from pre-event mean"", ""No nearby site correlations or variant shifts""]","[""Hydrology data is missing."", ""Missing hydrology data"", ""Incomplete weather records""]","[""uncertain"", ""sampling"", ""sampling""]","[0.5, 0.7, 0.7]",sampling
EVT-00012,NWSS_az_1059_Treatment plant_raw wastewater,2024-05-20,2024-05-20,2024-05-20,1,0.0,0.0,,2,uncertain,0.5,llm_silver_consensus,silver,disagreement,0.3333,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The evidence shows a peak in wastewater concentration but lacks clinical follow-up data and significant environmental perturbation. The variant shift is noted, but without clinical data, the impact on hospitalizations is unclear.","[""Peak concentration increased by 24.45% compared to the context."", ""No significant rainfall or environmental factors reported.""]","[""No clinical follow-up data available to assess hospitalization changes."", ""No nearby sites or regional patterns to support an epidemic label.""]","[""uncertain"", ""epidemic"", ""sampling""]","[0.5, 0.7, 0.6]",uncertain
EVT-00013,NWSS_ga_2699_Treatment plant_raw wastewater,2022-06-05,2022-06-06,2022-06-05,2,0.0,0.0,,2,epidemic,0.825,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"Hospital admissions increased by 21.6% following the event, and there was a variant shift from BA.2 to BA.2.12.1. No significant rainfall was observed. | Clinical hospitalizations show a significant rise (21.64% increase) coinciding with a variant shift from BA.2 to BA.2.12.1, supporting an epidemic signal","[""Hospital admissions increased by 21.6% following the event."", ""Variant shift from BA.2 to BA.2.12.1 occurred during the period."", ""No significant rainfall was observed."", ""Clinical admissions increased from 79.33 to 96.5 (21.64% rise)"", ""Dominant variant shifted from BA.2 to BA.2.12.1 on 2022-05-15"", ""No significant environmental distortion (0mm rainfall, no flow data)""]","[""Flow data is unavailable."", ""Missing hydrology data"", ""No nearby site comparisons available""]","[""uncertain"", ""epidemic"", ""epidemic""]","[0.9, 0.8, 0.85]",epidemic
EVT-00014,NWSS_ga_2699_Treatment plant_raw wastewater,2022-08-07,2022-08-07,2022-08-07,1,0.0,0.0,,2,sampling,0.7,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event is an isolated concentration decrease with no rain, flow, or clinical support. The derived assessment also flags it as an isolated spike candidate. | Isolated wastewater signal with no significant environmental or clinical changes","[""Concentration decreased by -0.99% compared to the local context."", ""No significant rainfall (0.0mm) was observed."", ""Hospital admissions show a stable trend."", ""No nearby sites show a similar trend."", ""No rainfall detected (0.0mm)"", ""Hospitalization trend is stable with slight decrease"", ""Wastewater concentration shows minimal variation"", ""No variant shift detected""]","[""Hydrology data is unavailable."", ""Missing hydrology data"", ""No nearby site comparisons""]","[""uncertain"", ""sampling"", ""sampling""]","[0.5, 0.7, 0.7]",sampling
EVT-00015,NWSS_ga_2699_Treatment plant_raw wastewater,2022-11-13,2022-11-13,2022-11-13,1,0.0,0.0,,2,sampling,0.7667,llm_silver_consensus,silver,accepted,1.0,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event shows an isolated spike in wastewater concentration with no significant clinical follow-up rise or environmental perturbation. The hospitalization trend is stable, indicating no epidemic activity. | The event is an isolated spike with no rainfall or flow data available. Hospital admissions are stable, and there is no variant shift.","[""Peak value of 18.9929 represents an isolated spike."", ""No significant rainfall or environmental changes reported during the event."", ""Isolated spike candidate is true."", ""No rainfall reported."", ""Hospital admissions are stable."", ""No variant shift."", ""No rainfall or flow anomalies detected"", ""Hospitalization trend is stable with slight decrease""]","[""Lack of detailed clinical follow-up data for the specific dates."", ""No nearby sites to compare trends."", ""Flow data is missing."", ""Missing detailed weather data"", ""No hydrology data available"", ""Limited variant tracking information""]","[""sampling"", ""sampling"", ""sampling""]","[0.9, 0.7, 0.7]",sampling
EVT-00016,NWSS_ga_2699_Treatment plant_raw wastewater,2023-03-13,2023-03-13,2023-03-13,1,0.0,0.0,,2,sampling,0.7667,llm_silver_consensus,silver,accepted,1.0,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event shows an isolated spike in wastewater concentration with no significant clinical rise or environmental perturbation. The hospitalization data does not indicate a meaningful increase, and there is no rainfall or flow data to suggest environmental influence. | The event is an isolated spike with a local change of 10.693%. There is no rainfall, hydrology data, or nearby sites. The hospitalization data does not show a significant rise (7% increase). The variant is stable.","[""Peak concentration on 2023-03-13 shows a 10.693% increase compared to the pre-mean."", ""No significant rainfall or flow data during the event period."", ""Isolated spike candidate is true."", ""No significant rainfall."", ""Hospitalization data shows a 7% increase, which is not significant."", ""No nearby sites with similar trends."", ""Peak z-score of 0.0 indicates minimal statistical deviation"", ""No rainfall or flow anomalies detected""]","[""Lack of clinical follow-up data showing a rise in hospitalizations."", ""Missing hydrology data for the event period."", ""Missing weather data points"", ""No nearby site comparisons available"", ""Limited hydrology information""]","[""sampling"", ""sampling"", ""sampling""]","[0.9, 0.7, 0.7]",sampling
EVT-00017,NWSS_ga_2699_Treatment plant_raw wastewater,2023-05-22,2023-05-22,2023-05-22,1,0.0,0.0,,2,sampling,0.7667,llm_silver_consensus,silver,accepted,1.0,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The anomaly shows an isolated spike in wastewater concentration with no significant clinical rise or environmental perturbation. The hospitalization data indicates a stable trend, and there is no evidence of nearby sites showing similar trends. | The event is an isolated spike with no rainfall, flow data, or nearby sites to suggest a broader pattern. Hospitalizations are stable, and there is no variant shift.","[""Peak concentration on 2023-05-22 with a local change of 12.99% compared to the context."", ""Hospitalization data shows stable admissions with no significant rise during the same period."", ""Isolated spike candidate is true."", ""No significant rainfall."", ""Hospital admission trend is stable."", ""No variant shift."", ""Peak z-score of 0.0 indicates minimal statistical significance"", ""No rainfall or flow perturbations""]","[""No environmental data available for the anomaly period."", ""No nearby sites to compare for regional patterns."", ""Flow data is missing."", ""Missing hydrology data"", ""Limited weather information""]","[""sampling"", ""sampling"", ""sampling""]","[0.9, 0.7, 0.7]",sampling
EVT-00018,NWSS_ga_2699_Treatment plant_raw wastewater,2024-01-15,2024-01-15,2024-01-15,1,0.0,0.0,,2,sampling,0.5,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The evidence shows a decrease in clinical follow-up (hospitalizations) and no significant environmental perturbation. The anomaly does not meet the criteria for epidemic or environmental labeling, leading to uncertainty. | The wastewater signal decreased slightly, but the clinical data shows a decrease in hospital admissions. There is no significant rainfall or high flow. The variant JN.1 is dominant and increasing in proportion. The derived assessment does not indicate an epidemic candidate.","[""Hospitalization data shows a decline in daily admissions around the peak date."", ""No significant rainfall or high flow events were recorded during the anomaly period."", ""Wastewater signal decreased slightly: local_change_pct_vs_context: -5.0362"", ""Hospital admissions show a decreasing trend: admission_trend: stable, trend_change_pct: 0.0"", ""No significant rainfall: rain_sum_mm_last_3d: 0.0"", ""Flow is not high: flow_percentile_max_last_3d: 0.724""]","[""Lack of nearby site data to confirm regional patterns."", ""No significant variant shifts reported during the anomaly period."", ""No information on other potential causes for the wastewater signal change."", ""Hospitalization data is at the state level, not site-specific.""]","[""uncertain"", ""uncertain"", ""sampling""]","[0.5, 0.5, 0.7]",uncertain
EVT-00019,NWSS_ga_2699_Treatment plant_raw wastewater,2024-01-28,2024-01-28,2024-01-28,1,0.0,0.0,,2,sampling,0.45,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The evidence shows a peak in wastewater concentration but lacks a corresponding rise in clinical follow-up or significant environmental perturbation. The hospitalization trend is stable, and there is no regional pattern or variant shift noted. | The wastewater signal increased by 8.1%, but the hospitalization data is stable. There was a high flow event (90th percentile) during the event window, which could explain the wastewater increase. No other nearby sites to compare with.","[""Peak wastewater concentration on 2024-01-28 with a local change of 8.1%"", ""Hospitalization trend is stable with no significant rise in admissions"", ""Wastewater concentration increased by 8.1%."", ""Hospital admission trend is stable."", ""High flow event (90th percentile) occurred during the event window.""]","[""No significant environmental perturbation (rainfall or flow) noted"", ""No nearby sites showing similar trends"", ""No clinical data at the site level."", ""No nearby sites to compare with.""]","[""uncertain"", ""uncertain"", ""environmental""]","[0.5, 0.4, 0.7]",uncertain
EVT-00020,NWSS_ga_2699_Treatment plant_raw wastewater,2024-04-14,2024-04-15,2024-04-14,2,0.0,0.0,,2,sampling,0.45,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The evidence shows a decrease in clinical follow-up (hospitalizations) and no significant environmental perturbation. The anomaly does not meet the criteria for epidemic or environmental labeling, leading to uncertainty. | The wastewater signal decreased slightly. There was no rain or high flow. Hospital admissions decreased. There are no nearby sites to compare. The variant is JN.1. The derived assessment indicates that this is not an epidemic candidate.","[""Clinical follow-up (hospitalizations) decreased from 24.6667 to 19.0."", ""No significant rainfall or high flow recorded during the event."", ""Wastewater signal decreased slightly."", ""No rain or high flow."", ""Hospital admissions decreased.""]","[""Lack of nearby site data to confirm regional patterns."", ""No significant variant shifts reported during the period.""]","[""uncertain"", ""uncertain"", ""sampling""]","[0.5, 0.4, 0.7]",uncertain
EVT-00021,NWSS_ga_2699_Treatment plant_raw wastewater,2024-06-16,2024-06-16,2024-06-16,1,0.0,0.0,,2,uncertain,0.45,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The evidence does not provide clear clinical follow-up data or significant environmental perturbation to support a definitive label. There is a variant shift, but no rise in hospitalizations or significant rainfall. | The event shows a decrease in concentration, but the z-score is 0.0, indicating it's not an anomaly. There is no rainfall or high flow. Hospitalization data is missing. There are variant shifts, but the clinical impact is unknown.","[""No significant rainfall or high flow detected during the event."", ""No clinical follow-up data available to indicate a rise in hospitalizations."", ""Peak zscore is 0.0."", ""No significant rainfall or high flow."", ""Hospitalization data is missing.""]","[""Lack of clinical hospitalization data during the anomaly period."", ""No nearby sites showing similar trends."", ""Hospitalization data is missing, making it impossible to assess clinical impact."", ""The concentration decreased during the event window.""]","[""uncertain"", ""uncertain"", ""sampling""]","[0.5, 0.4, 0.6]",uncertain
EVT-00022,NWSS_ga_2699_Treatment plant_raw wastewater,2025-02-02,2025-02-02,2025-02-02,1,0.0,0.0,,2,sampling,0.75,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The anomaly shows a peak value that is lower than the pre-mean and post-mean, indicating a decline rather than a rise. There is no significant environmental perturbation or clinical follow-up data to support an epidemic or environmental label. | Isolated signal with no environmental or clinical support, suggesting a sampling artifact","[""Peak value (11.7965) is lower than pre-mean (15.5977) and post-mean (13.9002), indicating a decline."", ""No significant rainfall or flow events reported during the anomaly period."", ""No rainfall detected"", ""No hospitalization data available"", ""No significant flow variation"", ""No nearby site comparisons"", ""Consistent dominant variant (XEC)""]","[""Lack of clinical follow-up data to assess hospitalization trends."", ""No nearby sites to compare for regional patterns."", ""Missing hospitalization data"", ""No weather data provided"", ""Limited nearby site information""]","[""sampling"", ""uncertain"", ""sampling""]","[0.8, 0.4, 0.7]",sampling
EVT-00023,NWSS_ga_2699_Treatment plant_raw wastewater,2025-03-16,2025-03-16,2025-03-16,1,0.0,0.0,,2,environmental,0.75,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event coincides with a high flow event (94.5th percentile). There is no rainfall, hospitalization data, or nearby site data to suggest an alternative cause. | High flow event detected with water discharge at 95th percentile, but no clinical or variant evidence supports an epidemic","[""High flow event on peak date (94.5th percentile)."", ""No rainfall during the event period."", ""No hospitalization data available."", ""Discharge percentile max of 0.945 indicates significant hydrology event"", ""No rainfall recorded during the period"", ""No clinical hospitalization data available"", ""No significant variant shifts detected""]","[""Hospitalization data is missing."", ""Missing hospitalization data"", ""No nearby site comparisons"", ""Incomplete weather information""]","[""uncertain"", ""environmental"", ""environmental""]","[0.5, 0.7, 0.8]",environmental
EVT-00024,NWSS_ga_2699_Treatment plant_raw wastewater,2025-06-23,2025-06-23,2025-06-23,1,0.0,0.0,,2,sampling,0.8,llm_silver_consensus,silver,accepted,1.0,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event shows an isolated spike in wastewater concentration with no significant environmental or clinical support, indicating it is likely an artifact. | The event appears to be an isolated spike with a decrease in concentration, no rainfall, normal flow, no hospitalization data, no variant shift, and no nearby sites showing similar trends.","[""Peak z-score is 0.0, indicating no significant deviation from the mean."", ""No rainfall or significant hydrological changes during the event."", ""The event is flagged as an isolated spike candidate."", ""There was no rainfall in the 3 days prior to the event."", ""Flow rates were within normal percentiles."", ""No hospitalization data is available for the period."", ""No variant shift occurred during the period."", ""No nearby sites show similar trends.""]","[""No clinical follow-up data available to assess hospitalization trends."", ""No nearby sites to compare for regional patterns."", ""Hospitalization data is missing."", ""Missing hospitalization data"", ""No nearby site comparisons"", ""Incomplete weather information""]","[""sampling"", ""sampling"", ""sampling""]","[0.9, 0.7, 0.8]",sampling
EVT-00025,NWSS_il_639_Treatment plant_raw wastewater,2022-03-15,2022-03-15,2022-03-15,1,0.0,0.0,,2,sampling,0.7,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,The event is an isolated dip in viral concentration with no supporting evidence of environmental factors or clinical follow-up. The derived assessment also flags this as not an epidemic candidate. | Isolated wastewater signal with no significant environmental or clinical support,"[""The local change in concentration is -15.0199%."", ""There was no significant rainfall (0.0mm) in the 3 days prior to the event."", ""Flow rates were below the 90th percentile."", ""Hospital admissions showed a decreasing trend during the event window."", ""No rainfall detected (0.0mm)"", ""Flow within normal range (discharge percentile 0.794)"", ""Hospitalization trend is stable with slight decline"", ""No variant shift detected""]","[""Limited weather data"", ""No nearby site comparisons""]","[""uncertain"", ""sampling"", ""sampling""]","[0.5, 0.7, 0.7]",sampling
EVT-00026,NWSS_il_639_Treatment plant_raw wastewater,2022-06-09,2022-06-09,2022-06-09,1,2.192265115037436,2.192265115037436,,2,environmental,0.775,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The event coincides with moderate rainfall (17.8mm on the peak date, 22.4mm total over 3 days) and high flow (90th percentile). Hospital admissions are stable, with a slight decrease (-1.4%). | Significant rainfall (17.8mm) and high flow percentile (0.9) coincide with wastewater signal drop, suggesting environmental distortion","[""Moderate rainfall (17.8mm) on peak date."", ""High flow (90th percentile)."", ""Hospital admissions are stable (-1.4%)."", ""Moderate rainfall of 17.8mm on peak date"", ""Flow percentile reached 0.9 (90th percentile)"", ""Wastewater concentration dropped 15.4% from context mean""]","[""No temperature data available."", ""Missing temperature data"", ""No nearby site comparisons""]","[""sampling"", ""environmental"", ""environmental""]","[0.9, 0.7, 0.85]",environmental
EVT-00027,NWSS_il_639_Treatment plant_raw wastewater,2022-06-21,2022-06-21,2022-06-21,1,2.036631359422461,2.036631359422461,,2,sampling,0.8,llm_silver_consensus,silver,majority,0.6667,openai/gpt-4o-mini|google/gemini-2.0-flash-001|anthropic/claude-3.5-haiku,3,3,"The anomaly shows an isolated spike in wastewater concentration with no significant clinical rise or environmental perturbation, indicating it is likely a sampling artifact. | Isolated spike with no significant environmental or clinical support","[""Peak z-score of 2.0366 indicates an isolated spike."", ""No rainfall or significant environmental changes during the anomaly period."", ""Z-score spike of 2.0366 on 2022-06-21"", ""No rainfall during the period"", ""Hospitalization trend is stable"", ""No significant variant shift detected""]","[""Lack of clinical follow-up data showing a rise in hospitalizations."", ""No nearby sites to compare trends."", ""Limited temperature data"", ""No nearby site comparisons""]","[""sampling"", ""uncertain"", ""sampling""]","[0.9, 0.4, 0.7]",sampling
